ID,Verdict
1,Opinion
2,Opinion
3,Opinion
4,Fact
5,Fact
6,Opinion
7,Fact
8,Fact
9,Opinion
10,Fact
11,Fact
12,Fact
13,Fact
14,Fact
15,Opinion
16,Opinion
17,Opinion
18,Opinion
19,Fact
20,Opinion
21,Opinion
22,Opinion
23,Opinion
24,Fact
25,Opinion
26,Fact
27,Fact
28,Opinion
29,Opinion
30,Opinion
31,Opinion
32,Opinion
33,Opinion
34,Fact
35,Opinion
36,Opinion
37,Fact
38,Fact
39,Fact
40,Opinion
41,Opinion
42,Fact
43,Fact
44,Opinion
45,Fact
46,Opinion
47,Opinion
48,Opinion
49,Opinion
50,Fact
51,Fact
52,Fact
53,Fact
54,Fact
55,Fact
56,Fact
57,Opinion
58,Fact
59,Opinion
60,Fact
61,Opinion
62,Opinion
63,Fact
64,Fact
65,Fact
66,Opinion
67,Opinion
68,Fact
69,Fact
70,Opinion
71,Fact
72,Fact
73,Opinion
74,Opinion
75,Opinion
76,Opinion
77,Opinion
78,Opinion
79,Opinion
80,Opinion
81,Fact
82,Opinion
83,Opinion
84,Fact
85,Fact
86,Fact
87,Opinion
88,Fact
89,Fact
90,Opinion
91,Fact
92,Opinion
93,Opinion
94,Opinion
95,Fact
96,Opinion
97,Opinion
98,Opinion
99,Opinion
100,Fact
101,Fact
102,Fact
103,Opinion
104,Fact
105,Opinion
106,Opinion
107,Opinion
108,Fact
109,Opinion
110,Opinion
111,Fact
112,Opinion
113,Opinion
114,Opinion
115,Opinion
116,Opinion
117,Opinion
118,Fact
119,Opinion
120,Opinion
121,Opinion
122,Opinion
123,Opinion
124,Fact
125,Fact
126,Fact
127,Opinion
128,Opinion
129,Fact
130,Opinion
131,Fact
132,Opinion
133,Fact
134,Opinion
135,Opinion
136,Opinion
137,Opinion
138,Fact
139,Opinion
140,Fact
141,Fact
142,Fact
143,Opinion
144,Opinion
145,Opinion
146,Fact
147,Fact
148,Fact
149,Fact
150,Opinion
151,Opinion
152,Opinion
153,Fact
154,Opinion
155,Opinion
156,Opinion
157,Fact
158,Fact
159,Opinion
160,Opinion
161,Fact
162,Fact
163,Fact
164,Opinion
165,Fact
166,Fact
167,Fact
168,Opinion
169,Fact
170,Fact
171,Opinion
172,Fact
173,Opinion
174,Opinion
175,Opinion
176,Fact
177,Fact
178,Opinion
179,Opinion
180,Fact
181,Opinion
182,Opinion
183,Opinion
184,Opinion
185,Opinion
186,Opinion
187,Opinion
188,Opinion
189,Opinion
190,Opinion
191,Fact
192,Fact
193,Fact
194,Opinion
195,Opinion
196,Opinion
197,Fact
198,Opinion
199,Fact
200,Opinion
201,Fact
202,Opinion
203,Opinion
204,Opinion
205,Fact
206,Fact
207,Fact
208,Opinion
209,Fact
210,Fact
211,Opinion
212,Fact
213,Opinion
214,Fact
215,Fact
216,Opinion
217,Opinion
218,Fact
219,Opinion
220,Opinion
221,Fact
222,Fact
